<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.06	08:30:00	1.05715	1.05734	1.05704	1.05717	933	0	14
2024.12.06	09:00:00	1.05716	1.05773	1.05686	1.05751	1089	0	14
2024.12.06	09:30:00	1.05750	1.05768	1.05724	1.05738	1081	0	14
2024.12.06	10:00:00	1.05739	1.05768	1.05667	1.05713	2034	0	14
2024.12.06	10:30:00	1.05712	1.05839	1.05695	1.05831	1810	0	14
2024.12.06	11:00:00	1.05830	1.05935	1.05812	1.05822	2702	0	14
2024.12.06	11:30:00	1.05821	1.05829	1.05758	1.05813	2148	0	14
2024.12.06	12:00:00	1.05814	1.05828	1.05728	1.05743	1982	0	14
2024.12.06	12:30:00	1.05744	1.05818	1.05706	1.05760	1820	0	14
2024.12.06	13:00:00	1.05761	1.05781	1.05708	1.05740	1644	0	14
2024.12.06	13:30:00	1.05741	1.05842	1.05726	1.05819	1454	0	14
2024.12.06	14:00:00	1.05820	1.05865	1.05760	1.05811	1481	0	14
2024.12.06	14:30:00	1.05812	1.05882	1.05778	1.05863	1492	0	14
2024.12.06	15:00:00	1.05862	1.05879	1.05799	1.05835	1887	0	14
2024.12.06	15:30:00	1.05834	1.05859	1.05798	1.05806	2203	0	14
2024.12.06	16:00:00	1.05807	1.05890	1.05785	1.05842	2508	0	14
2024.12.06	16:30:00	1.05841	1.06284	1.05837	1.06037	8506	0	14
2024.12.06	17:00:00	1.06038	1.06065	1.05672	1.05810	6091	0	14
2024.12.06	17:30:00	1.05811	1.05892	1.05719	1.05777	5279	0	14
2024.12.06	18:00:00	1.05762	1.05777	1.05514	1.05648	4120	0	14
2024.12.06	18:30:00	1.05649	1.05670	1.05435	1.05627	3741	0	14
2024.12.06	19:00:00	1.05626	1.05722	1.05533	1.05704	2961	0	14
2024.12.06	19:30:00	1.05705	1.05748	1.05612	1.05618	2811	0	14
2024.12.06	20:00:00	1.05617	1.05617	1.05464	1.05523	2595	0	14
2024.12.06	20:30:00	1.05525	1.05613	1.05476	1.05504	2095	0	14
2024.12.06	21:00:00	1.05503	1.05605	1.05499	1.05572	1655	0	14
2024.12.06	21:30:00	1.05571	1.05572	1.05455	1.05487	1115	0	14
2024.12.06	22:00:00	1.05488	1.05492	1.05416	1.05478	1291	0	14
2024.12.06	22:30:00	1.05479	1.05545	1.05471	1.05537	1299	0	14
2024.12.06	23:00:00	1.05538	1.05600	1.05532	1.05596	1295	0	14
2024.12.06	23:30:00	1.05596	1.05632	1.05581	1.05614	1141	0	14
2024.12.09	02:00:00	1.05618	1.05687	1.05587	1.05619	909	0	14
2024.12.09	02:30:00	1.05619	1.05667	1.05605	1.05649	503	0	14
2024.12.09	03:00:00	1.05650	1.05652	1.05570	1.05580	824	0	14
2024.12.09	03:30:00	1.05579	1.05593	1.05548	1.05586	1022	0	14
2024.12.09	04:00:00	1.05587	1.05603	1.05526	1.05560	1481	0	14
2024.12.09	04:30:00	1.05561	1.05566	1.05504	1.05511	1475	0	14
2024.12.09	05:00:00	1.05512	1.05555	1.05511	1.05520	1283	0	14
2024.12.09	05:30:00	1.05518	1.05542	1.05498	1.05542	967	0	14
2024.12.09	06:00:00	1.05541	1.05557	1.05444	1.05459	1029	0	14
2024.12.09	06:30:00	1.05460	1.05489	1.05360	1.05365	935	0	14
2024.12.09	07:00:00	1.05366	1.05393	1.05323	1.05327	974	0	14
2024.12.09	07:30:00	1.05326	1.05357	1.05314	1.05340	1151	0	14
2024.12.09	08:00:00	1.05341	1.05376	1.05334	1.05337	806	0	14
